num,EDAD,P6_1,P6_5,P6_7_4,P6_7_5,P6_9_4,P6_9_5,P7_3,P7_4,P7_5,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P7_6_5,P7_6_6,P7_8_4,P7_8_5,P7_8_6,P7_8_7,P7_15,P7_16_1,P7_16_2,P7_16_3,P7_16_4,P7_16_5,P7_16_6,P7_16_7,P7_16_8,P7_16_9,P7_16_10,P7_17_1,P7_18_1,P7_23,P7_28,DOMINIO,TLOC,ESTRATO,SEXO,ENT
79,12,1,1,2,2,1,1,1,5,3,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,0,2,U,1,3,2,9
80,43,1,3,2,2,1,1,1,5,3,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,U,1,3,2,9
81,31,2,0,0,0,0,0,1,5,3,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,2,2,9
82,23,2,0,0,0,0,0,1,6,3,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,5,1,U,1,2,1,9
83,60,1,1,2,2,1,1,1,1,3,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,4,1,U,1,2,1,9
84,20,1,6,2,2,1,1,1,12,3,2,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,5,1,U,1,2,2,9
85,29,2,0,0,0,0,0,1,4,3,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,2,1,9
86,68,2,0,0,0,0,0,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,2,9
87,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
88,40,2,0,0,0,0,0,1,3,3,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,2,9
89,49,1,1,2,2,1,1,1,6,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,1,9
90,52,2,0,0,0,0,0,1,2,3,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,0,2,U,1,3,1,9
91,56,2,0,0,0,0,0,1,12,3,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,1,9
92,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
93,49,2,0,0,0,0,0,1,12,3,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,0,1,U,1,3,1,9
94,16,1,4,2,2,1,1,1,6,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,0,2,U,1,3,1,9
95,48,1,1,2,2,2,1,1,12,3,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,1,2,0,2,U,1,2,2,9
96,17,1,2,2,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,0,2,U,1,2,1,9
97,50,2,0,0,0,0,0,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,0,2,U,1,2,1,9
98,43,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,2,2,9
99,54,2,0,0,0,0,0,1,3,3,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,1,2,1,2,0,2,U,1,2,1,9
100,41,2,0,0,0,0,0,1,2,3,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,U,1,3,2,9
101,54,1,12,2,2,2,1,1,12,3,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,U,1,3,2,9
102,31,2,0,0,0,0,0,1,3,3,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,4,1,U,1,3,2,9
103,66,2,0,0,0,0,0,1,8,3,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,1,9
104,32,1,8,2,2,1,1,1,9,3,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,1,U,1,3,1,9
105,31,1,9,2,2,1,1,1,10,3,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,U,1,3,1,9
106,45,1,10,2,2,2,1,1,10,3,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,1,9
107,18,1,5,2,2,1,1,1,12,3,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,5,1,U,1,3,2,9
108,14,1,2,2,2,2,1,1,4,3,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,2,9
109,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
110,31,2,0,0,0,0,0,1,5,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,5,1,U,1,2,1,9
111,53,2,0,0,0,0,0,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,1,2,1,2,0,1,U,1,2,1,9
112,61,1,7,2,2,2,1,1,2,3,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,5,1,U,1,2,1,9
113,21,1,5,2,2,2,1,1,6,3,2,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,1,2,2,5,1,U,1,2,1,9
114,37,1,9,1,1,1,1,1,10,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,4,1,U,1,4,1,9
115,51,1,4,2,2,1,1,1,12,3,2,1,2,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,0,1,U,1,4,1,9
116,12,1,8,2,2,1,1,1,8,3,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,0,2,U,1,4,2,9
